mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-10.14,2.236,-1.961,0.822,1.655,0.8679,not_hand_wash
-6.921,3.522,-5.31,2.991,2.519,1.981,not_hand_wash
4.743,2.193,-3.207,2.636,5.878,0.8021,not_hand_wash
6.953,0.4282,-1.977,0.5824,6.092,0.4975,not_hand_wash
5.52,0.8619,-2.382,2.051,6.74,0.8787,not_hand_wash
-6.739,5.83,-3.48,1.709,3.268,2.322,not_hand_wash
-9.65,2.145,-2.047,0.6596,1.552,0.9982,not_hand_wash
-9.652,2.465,-2.564,0.9318,1.396,0.9296,not_hand_wash
-9.434,2.494,-2.33,1.27,1.529,0.6906,not_hand_wash
-10.23,3.361,-1.727,0.8697,2.304,1.449,not_hand_wash
-9.041,1.707,-1.37,0.446,2.368,0.9925,not_hand_wash
-9.798,1.524,-2.014,0.4646,1.446,1.106,not_hand_wash
-9.672,0.8641,-2.027,0.3153,0.5559,0.6577,not_hand_wash
-9.393,0.4769,-1.677,0.3482,1.043,0.3652,not_hand_wash
-9.417,0.2747,-2.094,0.1104,0.8752,0.2096,not_hand_wash
-9.43,0.1373,-1.88,0.144,1.023,0.1638,not_hand_wash
-9.503,0.07371,-1.777,0.08941,0.9334,0.1134,not_hand_wash
-9.44,0.1039,-1.771,0.06002,1.123,0.09678,not_hand_wash
-9.592,0.3708,-1.809,0.2102,0.947,0.2974,not_hand_wash
-9.385,1.37,-1.913,0.483,1.7,1.379,not_hand_wash
-9.609,0.9151,-1.458,0.6083,1.088,0.8028,not_hand_wash
-9.628,1.036,-1.704,0.994,1.236,0.9911,not_hand_wash
-9.241,1.809,-1.675,0.3135,1.586,1.308,not_hand_wash
-9.348,2.408,-5.134,4.35,1.883,1.306,not_hand_wash
0.3256,3.878,4.703,6.35,3.588,1.609,not_hand_wash
-7.568,8.626,-0.1746,5.189,3.188,2.493,not_hand_wash
-10.24,5.406,-2.389,2.213,1.107,1.576,not_hand_wash
-10.72,4.878,-3.048,2.119,2.343,2.58,not_hand_wash
-0.05421,2.1,6.291,2.124,6.292,2.385,not_hand_wash
-1.204,0.9104,-0.4569,1.472,9.634,1.97,not_hand_wash
-5.478,5.58,-1.76,2.349,6.779,3.437,not_hand_wash
-8.199,3.34,-2.762,0.7765,2.723,1.519,not_hand_wash
-9.199,3.525,-3.292,1.482,2.816,1.62,not_hand_wash
-9.873,3.159,-3.766,1.227,2.128,1.648,not_hand_wash
-6.429,2.195,-4.805,3.183,4.509,1.766,not_hand_wash
-9.019,3.197,-4.704,1.596,1.68,1.814,not_hand_wash
