mean_x,std_x,mean_y,std_y,mean_z,std_z,Activity
-9.371,2.755,-3.198,1.424,2.189,1.599,not_hand_wash
-8.969,3.186,-3.229,1.535,2.749,1.399,not_hand_wash
-9.482,3.533,-3.554,1.993,2.475,1.656,not_hand_wash
-9.038,2.725,-3.002,1.441,2.45,1.482,not_hand_wash
-8.851,2.818,-3.578,1.2,2.252,1.126,not_hand_wash
-9.017,2.653,-3.259,1.251,2.541,1.234,not_hand_wash
-8.774,2.562,-3.011,1.34,2.498,1.372,not_hand_wash
-9.294,2.842,-3.093,1.256,2.619,1.567,not_hand_wash
-9.133,2.391,-2.732,1.111,2.861,1.433,not_hand_wash
-5.096,4.141,-5.461,2.689,-1.294,4.254,not_hand_wash
-6.413,4.561,-4.978,2.797,1.325,2.45,not_hand_wash
-8.938,2.711,-3.351,1.423,2.211,1.458,not_hand_wash
-9.279,2.614,-3.023,1.16,2.488,1.443,not_hand_wash
-8.993,2.53,-3.63,1.968,2.294,1.637,not_hand_wash
-9.08,2.287,-3.168,1.642,2.319,1.62,not_hand_wash
-9.19,2.523,-3.288,1.736,2.269,1.633,not_hand_wash
-8.936,2.301,-3.243,1.678,2.352,1.631,not_hand_wash
-9.33,2.564,-3.067,1.503,2.329,1.611,not_hand_wash
-8.876,2.332,-2.851,1.154,2.112,1.216,not_hand_wash
-9.072,2.507,-2.881,1.301,2.126,1.304,not_hand_wash
-3.469,3.123,-5.24,2.065,-5.655,4.542,not_hand_wash
-1.941,1.799,-4.493,1.784,-8.248,3.181,not_hand_wash
-7.981,3.262,-4.425,2.554,0.7285,2.489,not_hand_wash
-8.986,2.727,-3.591,2.075,2.115,1.71,not_hand_wash
-9.083,2.249,-3.153,1.343,2.371,1.341,not_hand_wash
-8.96,2.751,-3.176,1.62,1.889,1.649,not_hand_wash
-9.395,2.372,-2.995,1.293,1.757,1.476,not_hand_wash
-9.209,2.235,-3.252,1.472,2.418,1.53,not_hand_wash
-8.943,2.013,-2.951,1.047,2.139,1.235,not_hand_wash
-9.11,1.932,-3.041,1.039,2.178,1.281,not_hand_wash
-9.104,2.553,-3.049,1.474,2.253,1.496,not_hand_wash
-9.259,2.717,-3.206,2.068,1.499,2.075,not_hand_wash
-8.876,2.951,-3.156,1.921,1.314,1.777,not_hand_wash
-9.173,2.61,-3.031,1.519,2.039,1.648,not_hand_wash
-7.614,3.142,-5.085,2.425,1.756,1.256,not_hand_wash
-5.113,5.229,-6.341,3.484,1.114,3.442,not_hand_wash
-2.986,3.195,-5.096,3.866,-6.72,5.258,hand_wash
-4.229,2.327,-5.981,2.909,-3.226,5.202,hand_wash
-5.12,1.738,-5.394,3.226,0.07154,5.399,hand_wash
-4.543,1.271,-5.72,1.86,-4.03,4.579,hand_wash
-5.403,1.314,-5.04,2.954,0.0731,5.326,hand_wash
-4.876,1.498,-6.558,2.05,-2.441,4.399,hand_wash
-3.174,2.106,-7.207,2.344,-3.99,4.322,hand_wash
